Term,Section,Title,Location,Meeting Info,Faculty,Available/Capacity,Status,Credits,Academic Level,Restrictions,Blocked Time Slots,Days,Time Slot
2024SP,EDUC-316-001,Tech-Enhanced Instruct,Main Campus,"01/15/2024-05/01/2024 Lecture Monday, Wednesday 11:15AM - 12:10PM, Murphy Center, Room 444","Lichty, Joshua John",35 / 35,Open,2,Undergraduate,,,,
2024SP,EDUC-319-001,Tch Litrcy Elem/Mid Schl,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 400","Holinka, Kristy Renee",20 / 20,Open,3,Undergraduate,,,,
2024SP,EDUC-323-001,Currlm Methods Science,Main Campus,"01/15/2024-04/29/2024 Lecture Monday 04:15PM - 08:00PM, Murphy Center, Room 404","Pederson, Eric James",25 / 25,Open,4,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,EDUC-345-001,Science Methods,Bachelor Completion,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Pederson, Eric James",25 / 25,Open,3,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-346-001,Math Methods,Bachelor Completion,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Sanders, Alissa Hughes",25 / 25,Open,3,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-347-001,Social Studies Methods,Bachelor Completion,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Burleson, Paige Danielle",25 / 25,Open,2,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-401-001,Early Child Ed Capstone,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 02:00PM - 03:20PM, Murphy Center, Room 400","Holinka, Kristy Renee",30 / 30,Open,3,Undergraduate,,,,
2024SP,EDUC-409-001,Interdisciplinary Methods,Bachelor Completion,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Huber, Laura Petersen",25 / 25,Open,2,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-441-001,Stdnt Tchng Elem Middle,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Berra, Kay Ellen",90 / 90,Open,12,Undergraduate,,,,
2024SP,EDUC-459-001,Stdnt Tchng Middle/High,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Berra, Kay Ellen",90 / 90,Open,12,Undergraduate,,,,
2024SP,EDUC-463-001,Student Tchng Sec PK-12,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Berra, Kay Ellen",35 / 35,Open,12,Undergraduate,,,,
2024SP,EDUC-482-001,Student Tchng Seminar,Main Campus,"01/17/2024-05/01/2024 Lecture Wednesday 04:30PM - 06:20PM, Murphy Center, Room 444","Huber, Laura Petersen",90 / 90,Open,2,Undergraduate,,,,
2024SP,EDUC-491-001,Student Teaching Seminar,Bachelor Completion,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Huber, Laura Petersen",25 / 25,Open,2,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-492-001,Student Teaching,Bachelor Completion,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Butts, Lindsey Beth",25 / 25,Open,6,Undergraduate,This course is for Elem Educ Degree Completion majors only.,,,
2024SP,EDUC-506-001,Bst Prctc High Imp Chng,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Davies, Julie Lenae",20 / 20,Open,3,Graduate,,,,
2024SP,EDUC-507-001,Ldrshp Institutnal Chng,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Schlomer, Kevin Joseph",20 / 20,Open,3,Graduate,,,,
2024SP,EDUC-508-001,Fld Exp Tchr Ldr Coach,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Jordal, Anna Christina",15 / 15,Open,1,Graduate,,,,
2024SP,EDUC-596-001,Prcticum Reading Ldrshp,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Lueschow, Thomas J",26 / 26,Open,3,Graduate,This course is for students in the reading program only.,,,
2024SP,EDUC-600-001,Ethcl Iss Schl Society,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Schueller, Travis Jerome",20 / 20,Open,3,Graduate,,,,
2024SP,EDUC-605-001,Tch Rdg Stdnts Dyslexia,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Burleson, Paige Danielle",26 / 26,Open,3,Graduate,,,,
2024SP,EDUC-612-001,Equity Social Just Educ,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Jones, Anthony Darnell",20 / 20,Open,3,Graduate,,,,
2024SP,EDUC-621-001,Clsrm Mgmt Postv Behavr,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Harris, Julie Ann",24 / 24,Open,3,Graduate,,,,
2024SP,EDUC-623-001,Tchr Ldrsp Prof Lrng,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Schlomer, Kevin Joseph",24 / 24,Open,3,Graduate,,,,
2024SP,EDUC-624-001,Appl of Eductl Research,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Schlomer, Kevin Joseph",12-Dec,Open,3,Graduate,,,,
2024SP,EDUC-624-002,Appl of Eductl Research,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Davies, Julie Lenae",12-Dec,Open,3,Graduate,,,,
2024SP,EDUC-627-001,Tchng Studnts Dsblities,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Godar, Patrick Gerard",24 / 24,Open,3,Graduate,,,,
2024SP,EDUC-630-001,Prctm Cross Cat Spcl Ed,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Schmitz, Tara Jean",26 / 26,Open,1,Graduate,,,,
2024SP,EDUC-681-001,Emrgent Rdg Wrtg Lang,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Kohlstedt, Stacia Nicole",26 / 26,Open,3,Graduate,,,,
2024SP,EDUC-690-001,Idntfy Crct Rdg Diffclt,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","MacVane, Maureen Ebben",26 / 26,Open,3,Graduate,,,,
2024SP,EDUL-606-001,Ldrsp Crrcl Intr Assmt,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Pecinovsky, Susan A",20 / 20,Open,4,Graduate,This course is for students in the IA ed. leadership program only.,,,
2024SP,EDUL-607-001,Needs of Diverse Lrnrs,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Rouleau-Carroll, Linda Kay; Stites, Mary Jane ",20 / 20,Open,4,Graduate,This course is for students in the IA ed. leadership program only.,,,
2024SP,EDUL-617-001,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Gavin, Kathleen J",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-002,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Rouleau-Carroll, Linda Kay",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-003,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Stanton, Kathleen Andrea",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-004,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Vande Krol, Constance Louise",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-005,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Hacker-Kluver, Becky Lou",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-006,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Chiodo, Debra Sue",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-007,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Crozier, Joseph M",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-008,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","TBA,  ",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-009,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Boroianu, Simona Florentina",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-010,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Pecinovsky, Susan A",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-617-014,Clin Intrnshp Curriculm,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Butler, Angela Thera",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-001,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Gavin, Kathleen J",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-002,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Rouleau-Carroll, Linda Kay",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-003,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Stanton, Kathleen Andrea",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-004,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Vande Krol, Constance Louise",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-005,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Hacker-Kluver, Becky Lou",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-006,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Chiodo, Debra Sue",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-007,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Crozier, Joseph M",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-008,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","TBA,  ",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-009,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Boroianu, Simona Florentina",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-010,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Pecinovsky, Susan A",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-620-014,Clin Intrnshp Dvrse Lrn,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced","Butler, Angela Thera",10-Oct,Open,1,Graduate,,,,
2024SP,EDUL-636-001,Prncplshp II Orgnzt Mgmt,Main Campus,"02/26/2024-04/26/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Ceranski, Bradley David",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-636-002,Prncplshp II Orgnzt Mgmt,Main Campus,"01/15/2024-03/01/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Bagstad, Lance Clinton",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-636-003,Prncplshp II Orgnzt Mgmt,Main Campus,"03/11/2024-05/03/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Russ, Samuel John",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-636-004,Prncplshp II Orgnzt Mgmt,Main Campus,"02/26/2024-04/26/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Briggs, Rainey Lamarcus",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-636-005,Prncplshp II Orgnzt Mgmt,Main Campus,"02/26/2024-05/03/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Foster, Scott Alan",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-638-001,Legal Aspcts of Edcation,Main Campus,"02/26/2024-04/26/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Bagstad, Lance Clinton",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-638-002,Legal Aspcts of Edcation,Main Campus,"01/15/2024-03/01/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Lensert, Deanne Dobs; Johnson, Sarah Lynn",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-640-001,Curr Dev and Instr Imprv,Main Campus,"01/15/2024-03/01/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Kern, Susan Lee",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-640-002,Curr Dev and Instr Imprv,Main Campus,"01/15/2024-03/15/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Peterson, Jill Marie",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-640-003,Curr Dev and Instr Imprv,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Berra, Kay Ellen",24 / 24,Open,3,Graduate,The course is for WI ed. leadership students only.,,,
2024SP,EDUL-655-001,Pupil Services,Main Campus,"01/20/2024-03/29/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Perrodin, David Paul",15 / 15,Open,3,Graduate,This course is for students in Dir. of Spec. Ed. and Pup. Serv. program.,,,
2024SP,EDUL-661-001,Bus Off and Oper Mgmt,Main Campus,"01/22/2024-03/15/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Gunderson, Troy Mitchell",25 / 25,Open,3,Graduate,,,,
2024SP,EDUL-767-001,Practicum in Educ Ldrshp,Main Campus,"01/15/2024-04/19/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Mihalovic, Scott Lee",25 / 25,Open,3,Graduate,This course is for students in the WI principalship program only.,,,
2024SP,EDUL-767-002,Practicum in Educ Ldrshp,Main Campus,"01/15/2024-04/19/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Butler, Gregg A",25 / 25,Open,3,Graduate,This course is for students in the WI principalship program only.,,,
2024SP,EDUL-767-003,Practicum in Educ Ldrshp,Main Campus,"01/15/2024-04/19/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Bagstad, Lance Clinton",25 / 25,Open,3,Graduate,This course is for students in the WI principalship program only.,,,
2024SP,EDUL-767-004,Practicum in Educ Ldrshp,Main Campus,"01/15/2024-04/19/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Jondle, Lisa Ann",25 / 25,Open,3,Graduate,This course is for students in the WI principalship program only.,,,
2024SP,EDUL-769-001,Practicum Spcl Edctn,Main Campus,"01/29/2024-04/26/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Windsor, Jason Allen",25 / 25,Open,3,Graduate,,,,
2024SP,EDUP-521-001,Social Studies Methods,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Burleson, Paige Danielle",15 / 15,Open,2,Graduate,,,,
2024SP,EDUP-522-001,Science Methods,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Pederson, Eric James",15 / 15,Open,3,Graduate,,,,
2024SP,EDUP-523-001,Math Methods,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Sanders, Alissa Hughes",15 / 15,Open,3,Graduate,,,,
2024SP,EDUP-524-001,Interdisciplinary Methd,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Huber, Laura Petersen",15 / 15,Open,2,Graduate,,,,
2024SP,EDUP-555-001,Currclm Instn Assessmnt,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Woychik, Dawn Marie",15 / 15,Open,2,Graduate,,,,
2024SP,EDUP-559-001,Student Teaching CC/Sec,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Butts, Lindsey Beth",20 / 20,Open,4,Graduate,,,,
2024SP,EDUP-561-001,Stdnt Tchng Elem Middle,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Butts, Lindsey Beth",30 / 30,Open,4,Graduate,,,,
2024SP,EDUP-582-001,Student Tchng Seminar,Main Campus,"01/15/2024-05/10/2024 Lecture Days to be Announced, Times to be Announced Arranged, Room ARRG (more)...","Huber, Laura Petersen",20 / 20,Open,2,Graduate,,,,
2024SP,ENGL-103-001,Rdg Wrtg Elmnt Argmt I,Main Campus,"01/15/2024-05/03/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 500 (more)...","Carafano, Vincent James",10-Oct,Open,3,Undergraduate,,,,
2024SP,ENGL-103-002,Rdg Wrtg Elmnt Argmt I,Main Campus,"01/15/2024-05/03/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 500 (more)...","Carafano, Vincent James",10-Oct,Open,3,Undergraduate,,,,
2024SP,ENGL-104-001,Rdg Wrtg Elmnt Argmt II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Murphy Center, Room 348","Carafano, Vincent James",22 / 22,Open,3,Undergraduate,,,,
2024SP,ENGL-104-002,Rdg Wrtg Elmnt Argmt II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Murphy Center, Room 348","Ashland, Alexander Joseph",22 / 22,Open,3,Undergraduate,,,,
2024SP,ENGL-104-003,Rdg Wrtg Elmnt Argmt II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 12:20PM - 01:15PM, Murphy Center, Room 404","Ashland, Alexander Joseph",22 / 22,Open,3,Undergraduate,,,,
2024SP,ENGL-105-001,Acc Rdg Wtg Elmt Argmnt,Main Campus,"01/15/2024-05/03/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 436 (more)...","Holtz, Victoria L",12-Dec,Open,4,Undergraduate,,,,
2024SP,ENGL-105-002,Acc Rdg Wtg Elmt Argmnt,Main Campus,"01/15/2024-05/03/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 436 (more)...","Holtz, Victoria L",12-Dec,Open,4,Undergraduate,,,,
2024SP,ENGL-195-001,Honors Writing Seminar,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Friday 08:00AM - 08:55AM, Murphy Center, Room 414 (more)...","Holtz, Victoria L",12-Dec,Open,4,Undergraduate,,,,
2024SP,ENGL-195-002,Honors Writing Seminar,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Friday 08:00AM - 08:55AM, Murphy Center, Room 414 (more)...","Holtz, Victoria L",12-Dec,Open,4,Undergraduate,,,,
2024SP,ENGL-218-001,Journalism Experience,Main Campus,"01/15/2024-05/10/2024 Lecture Days to be Announced, Times to be Announced Arranged, Room ARRG","Ashland, Alexander Joseph",22 / 22,Open,1,Undergraduate,,,,
2024SP,ENGL-236-001,Shakespeare,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 414","Holtz, Victoria L",30 / 30,Open,3,Undergraduate,,,,
2024SP,ENGL-250-001,Topics Amer Literature,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Murphy Center, Room 404","Ashland, Alexander Joseph",35 / 35,Open,3,Undergraduate,,,,
2024SP,ENGL-252-001,Topics World Literature,Main Campus,"01/15/2024-05/03/2024 Lecture Days to be Announced, Times to be Announced Arranged, Room ARRG (more)...","Holtz, Victoria L; Gillies, Lea Danielle",22 / 22,Open,3,Undergraduate,,,,
2024SP,ENGL-255-001,Intro Literary Studies,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Murphy Center, Room 404","Holtz, Victoria L",15 / 15,Open,3,Undergraduate,This course is for English majors only.,,,
2024SP,ENGL-273-001,Intr Rhetorical Studies,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 12:20PM - 01:15PM, Murphy Center, Room 436","Herbers, Jacqueline M",24 / 24,Open,3,Undergraduate,,,,
2024SP,ENGL-317-001,Compstn Ltrcy Community,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Murphy Center, Room 436","Herbers, Jacqueline M",24 / 24,Open,3,Undergraduate,,,,
2024SP,ENGL-336-001,Shakespeare,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 09:30AM - 10:50AM, Murphy Center, Room 414","Holtz, Victoria L",30 / 30,Open,3,Undergraduate,,,,
2024SP,ENGL-347-001,Women Writers After 1700,Bachelor Completion,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Carafano, Vincent James",26 / 26,Open,3,Undergraduate,,,,
2024SP,ENGL-350-001,Topics Amer Literature,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Murphy Center, Room 404","Ashland, Alexander Joseph",35 / 35,Open,3,Undergraduate,,,,
2024SP,ENGL-352-001,Topics World Literature,Bachelor Completion,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Carafano, Vincent James",26 / 26,Open,3,Undergraduate,,,,
2024SP,ENGL-392-001,Advncd Writing Tutorial,Main Campus,"01/15/2024-04/29/2024 Lecture Monday 02:30PM - 03:25PM, Murphy Center, Room 404","Ashland, Alexander Joseph",10-Oct,Open,1,Undergraduate,,,,
2024SP,ENGL-481-001,Senior Thesis Seminar,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Friday 02:25PM - 03:30PM, Murphy Center, Room 400","Carafano, Vincent James",30 / 30,Open,1.00 - 2.00,Undergraduate,,,,
2024SP,ENGR-150-001,Design Grphcs Prgrmming,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Friday 02:30PM - 03:50PM, Fine Arts Center, Room 438 (more)...","Vanderfleet, Emily Jean",16 / 16,Open,4,Undergraduate,,,,
2024SP,ENGR-250-001,Statics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Reinhart Center, Room 233 (more)...","Harned, Richard C",16 / 16,Open,4,Undergraduate,,,,
2024SP,ENGR-320-001,Thermodynamics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Reinhart Center, Room 233 (more)...","Vanderfleet, Emily Jean",16 / 16,Open,4,Undergraduate,,,,
2024SP,ENGR-365-001,Computational Modeling,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Reinhart Center, Room 233 (more)...","Lee, Sheldon Howard",16 / 16,Open,4,Undergraduate,,,,
2024SP,ENGR-370-001,Systems Engineering,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Reinhart Center, Room 233 (more)...","Harned, Richard C",16 / 16,Open,4,Undergraduate,,,,
2024SP,ENGR-489-001,Capstone Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Gostonczik, Alyssa Rae",16 / 16,Open,3.00 - 15.0,Undergraduate,,,,
2024SP,ENGR-499-001,Design Capstone 2,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 12:30PM - 02:20PM, Western Technical College, Room TBA","Harned, Richard C",24 / 24,Open,3,Undergraduate,This course is for students with senior standing.,,,
2024SP,ENVS-325-001,Envronmtal Sustnablty,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 12:20PM - 01:15PM, Reinhart Center, Room 201","Gleissberg, Stefan Erwin",16 / 16,Open,3,Undergraduate,,,,
2024SP,ETHL-714-001,Research Analysis,Main Campus,"01/15/2024-03/08/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Weinberg, Eric G",24 / 24,Open,3,Graduate,,,,
2024SP,ETHL-726-001,Critical Analysis Power,Main Campus,"03/18/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Howard, Jason J",24 / 24,Open,3,Graduate,,,,
2024SP,ETHL-742-001,Research 1,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","McManimon, Shannon Kinsella",24 / 24,Open,1,Graduate,,,,
2024SP,ETHL-743-001,Research 2,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","McManimon, Shannon Kinsella",24 / 24,Open,1,Graduate,,,,
2024SP,ETHL-744-001,Research 3,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","McManimon, Shannon Kinsella",24 / 24,Open,1,Graduate,,,,
2024SP,ETHL-762-001,Applied Learning Exprnc,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","McManimon, Shannon Kinsella",24 / 24,Open,3,Graduate,,,,
2024SP,ETHL-772-001,Dissertation,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","McManimon, Shannon Kinsella",24 / 24,Open,1.00 - 12.0,Graduate,,,,
2024SP,FINA-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG (more)...","Gostonczik, Alyssa Rae; Hanson, Taylor Michael",90 / 90,Open,1.00 - 12.0,Undergraduate,This course is for students with junior standing or higher.,,,
